case_num,case_name,MSE,R-Square
0,50417_199cffee_13,0.001580080483108759,0.9876919984817505
1,48516_2b3135bf_11,0.0013872322160750628,0.953097939491272
2,41733_1ec9b00c_31,0.0010225120931863785,0.900816023349762
3,31664_1e85c690_0,0.0003573692520149052,0.9807863831520081
4,21893_0500d043_18,0.0004047191177960485,0.9917716383934021
5,31607_9a2f8140_6,0.0003183352528139949,0.9893149733543396
6,41774_88a7a483_18,0.0003626751131378114,0.9114691615104675
7,42143_51b31600_4,3.238965291529894e-05,0.9345538020133972
8,23104_3b70eba4_13,0.00048734445590525866,0.19829398393630981
9,129075_8fbf62e5_2,2.8438375011319295e-05,0.9249537587165833
10,41624_a15f83c1_13,5.6975099141709507e-05,0.9720225930213928
11,36088_1ea9c8a9_12,0.0004141920944675803,0.9903373122215271
12,126477_6596d136_14,0.0003469826187938452,0.6854876279830933
13,130441_10c43121_0,0.0021590800024569035,0.9890010356903076
14,133385_e6aa64d8_21,7.71335544413887e-05,0.949395477771759
15,26398_b99946da_1,0.0012200155761092901,0.983954668045044
16,61198_0c99f50a_4,2.7058622436015867e-05,-0.7046033143997192
17,26661_ab88a525_0,5.250662798061967e-05,0.939314603805542
18,129075_8fbf62e5_1,0.0011688444064930081,-0.10381174087524414
19,51891_9455ea02_1,0.0006539468304254115,0.9896230697631836
20,34770_6bba5bd4_13,0.00028105388628318906,0.9944817423820496
21,21646_a2dd0d00_53,0.00041057338239625096,0.9658722877502441
22,68909_4ae1bc2e_1,9.342275006929412e-05,0.9122039675712585
23,27866_ece3076e_109,8.934538345783949e-05,0.9859114289283752
24,92134_52f13f49_6,0.00011123476724606007,0.9358943700790405
25,23342_7193a931_1,3.8210073398659006e-05,0.9469670057296753
26,126572_a2d6f794_14,7.059947620291496e-06,0.2902609705924988
27,44344_3e0b0b0c_1,5.573946054937551e-06,0.22802388668060303
28,49331_3bf3bb84_4,0.0002483756106812507,0.9954534769058228
29,33971_46bb0373_0,0.0005800735088996589,0.9259032011032104
30,21517_bfe35b4c_1,7.740104047115892e-05,0.8877366185188293
31,23165_369d62aa_6,0.0002991999208461493,0.9963911771774292
32,81846_2907c980_0,0.0006021502777002752,0.9732707738876343
